BookName,Category,Summary,Author
After the End of the World,Horror,The second installment in a thrilling supernatural series that brings the H.P. Lovecraft mythos into the twenty-first century  optioned by Warner Bros TV,Jonathan L. Howard
This World is Full of Monsters,Horror,An alien invasion comes to one man’s doorstep in the form of a story-creature  followed by death and rebirth in a transformed Earth,Jeff VanderMeer
Devil in Ohio,Horror,A strange  damaged girl lives with a family after escaping a cult in this debut YA suspense/thriller that was inspired by true events. ,Daria Polatin
Penny Dreadful: The Awaking,Horror,Set six months after the shocking events of the Penny Dreadful season three TV finale. Written by Penny Dreadful TV series Co-Executive Producer Chris King.,Chris King
Regression  Vol. 1,Horror,Plagued by ghastly waking nightmares  Adrian reluctantly agrees to past life regression hypnotherapy. As his consciousness is cast back through time,Cullen Bunn
Extinction War,Horror,The seventh and never-before-published book in USA Today bestselling Nicholas Sansbury Smith's propulsive post-apocalyptic series about a soldier's mission to save the world.An army advances...In Europe  ,Nicholas Sansbury Smith
Demon  Volume 4,Horror,Immortal actuary Jimmy makes a startling discovery: Agent Hunter  his long-dead adversary  is actually alive and a demon himself!,Jason Shiga 
When all the days have gone,Horror,When he is handed a collection of letters written by his predecessor  a gravedigger is rapidly immersed in a strange indeterminate narrative  that seems to overflow with mysterious characters ,Lars Boye Jerlach
Hellwalkers,Horror,In the third and final book of Alexander Gordon Smith's Devil's Engine series  Marlow and Pan are in hell. Literally in hell. Faced with the awful truth of being trapped,Alexander Gordon Smith
Strange Weather,Horror,A collection of four chilling novels  ingeniously wrought gems of terror from the brilliantly imaginative  #1 New York Times bestselling author of The Fireman  Joe Hill “Snapshot,Joe Hill
Before the Devil Breaks You,Horror,New York City. 1927. Lights are bright. Jazz is king. Parties are wild. And the dead are coming... After battling a supernatural sleeping sickness that early claimed two of their own,Libba Bray
What the Hell Did I Just Read ,Horror,NYT bestselling author Wong takes readers to a whole new level with his latest dark comic sci-fi thriller  set in the world of John Dies at the End and This Book is Full of Spiders Dave,David Wong
The World of Lore,Horror,A fascinating  beautifully illustrated guide to the monsters that are part of our collective psyche  from the host of the hit podcast Lore  soon to be an online streaming series.,Aaron Mahnke
It Devours!,Horror,From the authors of the New York Times bestselling novel Welcome to Night Vale and the creators of the #1 international podcast of the same name  comes a mystery exploring the intersections of faith and science,Joseph Fink 
The Silent Companions,Horror,When newly widowed Elsie is sent to see out her pregnancy at her late husband's crumbling country estate  The Bridge  what greets her is far from the life of wealth and privilege she was expecting ,Laura Purcell
The Murders of Molly Southbourne,Horror,Every time she bleeds a murderer is born. Experience the horror of Tade Thompson's The Murders of Molly Southbourne.The rule is simple: don't bleed,Tade Thompson
The Peculiar Incident on Shady Street,Horror,A girl unravels a centuries-old mystery after moving into a haunted house in this deliciously suspenseful mystery.,Lindsay Currie
Artemis,Sci-Fi,Jazz Bashara is a criminal. Well  sort of. Life on Artemis  the first and only city on the moon  is tough if you're not a rich tourist or an eccentric billionaire,Andy Weir
Renegades ,Sci-Fi,Secret Identities. Extraordinary Powers. She wants vengeance. He wants justice. The Renegades are a syndicate of prodigies—humans with extraordinary abilities—who emerged from the ruins of a crumbled ,Marissa Meyer
Future Home of the Living God,Sci-Fi,The world as we know it is ending. Evolution has reversed itself  affecting every living creature on earth. Science cannot stop the world from running backwards  as woman after woman,Louise Erdrich 
This Mortal Coil,Sci-Fi,Catarina Agatta is a hacker. She can cripple mainframes and crash through firewalls  but that’s not what makes her special.,Emily Suvada
The End We Start From,Sci-Fi,In the midst of a mysterious environmental crisis  as London is submerged below flood waters  a woman gives birth to her first child ,Megan Hunter
Into the Drowning Deep,Sci-Fi,Seven years ago  the Atargatis set off on a voyage to the Mariana Trench to film a “mockumentary” bringing to life ancient sea creatures of legend. ,Mira Grant 
Insurrection,Sci-Fi,Intercepted Broadcast 2190 The virus ran swiftly on the hot summer breeze. Unseen. Unheard. Unknown,Sherrilyn Kenyon
Jade City ,Sci-Fi,FAMILY IS DUTY. MAGIC IS POWER. HONOR IS EVERYTHING.Magical jade—mined  traded  stolen  and killed for,Fonda Lee
The Emerald Circus,Sci-Fi,Enter the Emerald Circus and be astonished by the transformations of your favorite tales. Ringmaster and internationally bestselling author Jane Yolen (Briar Rose  Sister Emily’s Lightship) spins ,Jane Yolen
Weave a Circle Round,Sci-Fi,Freddy wants desperately to not be noticed. She doesn't want to be seen as different or unusual  but her step-brother Roland gets attention because he's deaf,Kari Maaren
The Alien's Mail-Order Bride,Sci-Fi,Though still carrying the scars of his past as an intergalactic soldier  Emvor doesn’t mind the quiet of his chosen life as a farmer,Ruby Dixon 
After the End of the World,Sci-Fi,The second installment in a thrilling supernatural series that brings the H.P. Lovecraft mythos into the twenty-first century  optioned by Warner Bros TV. ,Jonathan L. Howard
Terminal Alliance,Sci-Fi,When the Krakau came to Earth  they planned to invite humanity into a growing alliance of sentient species. This would have worked out better for all involved if they hadn’t arrived after a mutated plague wiped out ,Jim C. Hines
Eight Days on Planet Earth,Sci-Fi,How long does it take to travel 13 light-years to Earth? How long does it take to fall in love? To the universe  eight days is a mere blip—but to Matty Jones,Cat Jordan
Won by an Alien ,Sci-Fi,I was abducted by aliens. The aliens that I've been auctioned to don’t speak my language  and I definitely can’t speak theirs. I didn’t expect to get married by accident,Amanda Milo
Steal the Stars,Sci-Fi,Steal the Stars  a debut novel by Nat Cassidy  is based on the debut science fiction podcast from Tor Labs. Dakota “Dak” Prentiss guards the biggest secret in the world. ,Mac Rogers 
This World is Full of Monsters,Sci-Fi,An alien invasion comes to one man’s doorstep in the form of a story-creature  followed by death and rebirth in a transformed Earth,Jeff VanderMee
Valiant Dust,Sci-Fi,Horatio Hornblower and Honor Harrington fans will find a new hero in Sikander North  first in a new military SF series with elements of colonial diplomacy,Richard Baker
Into the Black,Sci-Fi,The world ruler is dead  technology foundational to their society destroyed  and Safara is on the brink of collapse. Half-human  half-alien ,Ava Jae
Admiral,Sci-Fi,Admiral Kris Longknife should have known the job offer was too good. Really  she knew by now that what was too good to be true really  really isn't. ,Mike Shepherd
The Emerald Circus,Poetry,Enter the Emerald Circus and be astonished by the transformations of your favorite tales. Ringmaster and internationally bestselling author Jane Yolen,Jane Yolen
Wild Embers,Poetry,They have lightning in their souls  thunder in their hearts  chaos in their bones. Nikita Gill's poetry has captured hearts and minds all over the world,Nikita Gill
They Can't Kill Us Until They Kill Us,Poetry,In an age of confusion  fear  and loss  Hanif Abdurraqib's is a voice that matters. Whether he's attending a Bruce Springsteen concert the day after visitin,Hanif Willis-Abdurraqib 
I Wrote This For You,Poetry,I need you to understand something. Ten years ago  I started writing this for you. I wrote it for you and only you. Since then  millions of other people have read it ,Iain S. Thomas
Before She Was Harriet,Poetry,A lush and lyrical biography of Harriet Tubman  written in verse and illustrated by an award-winning artist.We know her today as Harriet Tubman  but in her lifetime,Lesa Cline-Ransome 
Hey Black Child,Poetry,Six-time Coretta Scott King Award winner and four-time Caldecott Honor recipient Bryan Collier brings this classic  inspirational poem to life  written by poet Useni Eugene Perkins,Useni Eugene Perkins 
Ultra Deep Field,Poetry,"""In these poems  Ace Boggess pursues the tough questions about what makes us tick  what makes us keep going  what makes us say enough is enough",Ace Boggess
The Dust Has Grown Flowers,Poetry,“This book is dedicated to all the list-keepers and plan-makers. The dreamers and astronauts traveling through their own universe.” ,Fiphie
Semicolon ;,Poetry,A Collection of poetry that uncovers the raw and heavy emotions that come with anxiety  trauma  and other experiences. Part two takes you into the healing  bringing the light  the meditation  the beauty in finding oneself,McKayla Debonis* 
Hearts and Empires,Poetry,For everyone who have their hearts broken  their minds troubled  their spirits crushed  and their bodies trampled. Hearts and Empires is Cynthia Go’s first book,Cynthia Go
The Sun and Her Flowers,Poetry,From Rupi Kaur  the #1 New York Times bestselling author of milk and honey  comes her long-awaited second collection of poetry. A vibrant and transcendent journey about growth and healing.,Rupi Kaur
Long Way Down,Poetry,A cannon. A strap. A piece. A biscuit. A burner. A heater. A chopper. A gat. A hammer A tool for RULE Or  you can call it a gun. That’s what fifteen-year-old Will has shoved in the back waistband of his jeans.,Jason Reynolds 
Milk and Vine,Poetry,Parodying the popular poetry book Milk and Honey  Milk and Vine beautifully portrays the best vines of all time in this modern poetic format.,Adam Gasiewsk
Vanilla,Poetry,A bold  groundbreaking novel about coming out  coming into your own  and coming apart. Hunter and Van become boyfriends before they're even teenager,Billy Merrell 
The Lost Words,Poetry,From Acorn to Weasel: a gorgeous  hand-illustrated  large-format spellbook celebrating the magic and wonder of the natural world All over the country,Robert Macfarlane 
Advice from the Lights,Poetry,Stephen is sometimes Stephanie and sometimes wonders how his past and her past are their own collective memoryAdvice from the Lights is a brilliant and candid exploration,Stephen Burt
You Left me  sweets  two legacies,Poetry,"""love is more thicker than forget more thinner than recall more seldom than a wave is wet more frequent than to fail"" (E E Cummings) Love is always kind",Avira N
For Want of Water and Other Poems,Poetry,Searing verses set on the Mexican border about war and addiction  love and sexual violence  grief and loss  from an American Book Award-winning author.,Sasha Pimentel 
the magic my body becomes,Poetry,Winner  2017 Etel Adnan Poetry Prize In the magic my body becomes  Jess Rizkallah seeks a vernacular for the inescapable middle ground of being Arab American,Jess Rizkallah
Wish You Were Here,Poetry,Bloody Valentine's poetry :) Schizoid  violent  pornographic  heartbroken :-) Parental Advisory: Explicit Content :--) Party party party party all the time,Alexander Akyna
Wonder Woman Vol. 4,Comics,Princess Diana—Wonder Woman—is a hero to the world. But there are those who see her very differently. And one of those  Veronica Cale  the leader of the all-powerful Godwatch  ,Greg Rucka 
Titans: The Lazarus Contract,Comics,They are the greatest young heroes this world—or any world—has ever known. They are the Titans. And now  from the void between the worlds  one of their most legendary members has emerged. ,Christopher J. Priest 
The Flash Vol. 4,Comics,The Fastest Man Alive continues his monumental run in DC Universe Rebirth with THE FLASH VOL. 4! Barry Allen is at a crossroads. He’s lied to the woman he loves about his life as the Flash  and a rift is growing ,Joshua Williamson 
Penny Dreadful,Comics,Set six months after the shocking events of the Penny Dreadful season three TV finale. Written by Penny Dreadful TV series Co-Executive Producer Chris King,Chris King 
Captain Phasma,Comics,Set six months after the shocking events of the Penny Dreadful season three TV finale. Written by Penny Dreadful TV series Co-Executive Producer Chris King.,Kelly Thompson
Black Panther,Comics,"""YOU DESERVED SO MUCH MORE  LITTLE FLOWER. YOU DESERVED A WAKANDA THAT CHERISHED YOU."" Writer ROXANE GAY (Bad Feminst  Hunger) spins a Wakandan love story ",Roxane Gay
Runaways,Comics,The Runaways' recruitment road trip stops at Pomona College  where Karolina Dean is finally happy. Chase  Nico and Gert have nothing to lose:,Rainbow Rowell
Cici's Journal,Comics,Cici dreams of being a novelist. Her favorite subject: people  especially adults. She’s been watching them and taking notes. Everybody has one special secret,Joris Chamblain 
Rose,Comics,A classic fantasy tale about a girl trying to restore balance to a broken world. Rose must connect with her Khat--Thorne--to become the Guardian the world needs. But things aren't easy for Rose and Thorne  the powerful,Meredith Finch 
Regression  Vol,Comics,Plagued by ghastly waking nightmares  Adrian reluctantly agrees to past life regression hypnotherapy. As his consciousness is cast back through time,Cullen Bunn
Ghost Fleet,Comics,For the world’s most valuable  dangerous  or secretive cargo  you don’t call just any trucking service...you call THE GHOST FLEET,Donny Cates 
Eternal Empire  Vol. 1,Comics,JONATHAN LUNA (ALEX + ADA  THE SWORD  Spider-Woman: Origin) and SARAH VAUGHN (ALEX + ADA  Deadman: Dark Mansion of Forbidden Love,Sarah Vaughn 
Legend Lost,Comics,It's a sad day for Poe Dameron and the Resistance  as they mourn the loss of a fallen comrade. But their fight is far from over - the First Order must be stopped,Charles Soule 
Jughead  Vol. 3,Comics,It's magic  music  mayhem and ZOMBIES (oh yeah  and hamburgers -- plenty of hamburgers!) in this third volume,Ryan North 
Demon  Volume 4,Comics,Immortal actuary Jimmy makes a startling discovery: Agent Hunter  his long-dead adversary  is actually alive and a demon himself! ,Jason Shiga 
